meta_model,base_combo,include_meta,accuracy,f1,precision,recall,leave_out,sampling
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7184389102355103,0.0,0.0,0.0,03-01-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.877067837565246,0.723746918652424,0.9852900050338386,0.5719294828089997,03-01-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9107382816189846,0.8143599493029151,0.9825068428215361,0.6953562113784184,03-01-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.8707938607049159,0.7033946321024616,0.9944815855057557,0.5441273551724511,03-01-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7184389102355103,0.0,0.0,0.0,03-01-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.889432965345343,0.7577509546826181,0.988951816676832,0.6141683711567806,03-01-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9988205165027165,0.997850842916155,0.9963456735073521,0.9993605668941371,03-02-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9988454081998994,0.9978969835839167,0.9960211786083524,0.9997798672914242,03-02-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7260084727507718,0.0,0.0,0.0,03-02-2018.csv,none
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9988406213350566,0.9978881209857295,0.9960798239750446,0.9997029955519217,03-02-2018.csv,none
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9988626409133338,0.9979275985262923,0.9964223133384659,0.9994374386336398,03-02-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9893003997032144,0.9801394644621519,0.9972553004523872,0.9636012313455,03-02-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7260084727507718,0.0,0.0,0.0,03-02-2018.csv,smote
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9987065891194562,0.9976419910601615,0.996669572798605,0.9986163086889525,03-02-2018.csv,smote
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9988568966755224,0.9979166157743943,0.9966575466601607,0.9991788700553127,03-02-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,False,0.9962576290658434,0.9931414675399642,0.9974026980927275,0.9889164928317102,03-02-2018.csv,class_weight
LR,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.7260084727507718,0.0,0.0,0.0,03-02-2018.csv,class_weight
RF_meta,ET_flow+RF_flags+ET_timing+LGBM_packet,True,0.9984356525693497,0.9971457617881435,0.996971612799564,0.9973199716273398,03-02-2018.csv,class_weight
